transaction_id,account_id,transaction_date,transaction_time,transaction_datetime,transaction_type,amount,description,merchant_name,merchant_category,merchant_id,channel,status,location,reference_number,transaction_category,is_fraudulent,created_at
TXN900000058,ACC5000000,2023-01-01,09:55:00,2023-01-01 09:55:00,PAYMENT,323.88,Credit Card Payment,Anderson Group,Restaurant,MER34727,ATM,Completed,"Powellfort, MS",REF848933239,Expense,False,2025-12-07 14:55:40.265865
TXN900000903,ACC5000019,2023-01-01,09:55:00,2023-01-01 09:55:00,WITHDRAWAL,242.78,ATM Withdrawal,"Washington, Vasquez and Singleton",Retail,MER39002,Online,Completed,"North Michael, IL",REF895913682,Cash,False,2025-12-07 14:55:40.458332
TXN900006933,ACC5000153,2023-01-01,09:58:00,2023-01-01 09:58:00,TRANSFER,437.67,Account Transfer,,,,Mobile,Completed,"Michellechester, IL",REF583473665,Transfer,False,2025-12-07 14:55:41.779225
TXN900008913,ACC5000198,2023-01-01,10:02:00,2023-01-01 10:02:00,INTEREST,14.24,Dividend Payment,,,,Phone,Completed,"Sharpmouth, OH",REF250689986,Income,False,2025-12-07 14:55:42.199065
TXN900010829,ACC5000238,2023-01-01,10:04:00,2023-01-01 10:04:00,DEPOSIT,587.67,Transfer Received,,,,Mobile,Completed,Online,REF969367941,Income,False,2025-12-07 14:55:42.604507
TXN900005361,ACC5000119,2023-01-01,10:07:00,2023-01-01 10:07:00,WITHDRAWAL,702.86,Cash Withdrawal,Allen LLC,Gas/Automotive,MER10183,ATM,Completed,Online,REF796477802,Cash,False,2025-12-07 14:55:41.436749
TXN900010208,ACC5000226,2023-01-01,10:10:00,2023-01-01 10:10:00,PAYMENT,185.59,Utility Bill,Haney-Hampton,Transportation,MER65549,Online,Completed,"New Melinda, MS",REF654351339,Expense,False,2025-12-07 14:55:42.474963
TXN900003582,ACC5000081,2023-01-01,10:12:00,2023-01-01 10:12:00,WITHDRAWAL,341.9,ATM Withdrawal,"Rogers, Gilbert and Mcclain",Travel,MER24131,Online,Completed,"Michaelbury, PW",REF135210907,Cash,False,2025-12-07 14:55:41.052213
TXN900009125,ACC5000206,2023-01-01,10:13:00,2023-01-01 10:13:00,WITHDRAWAL,733.26,ATM Withdrawal,"Lopez, Marshall and Maldonado",Utilities,MER24519,Online,Completed,"Josephburgh, SD",REF991174263,Cash,False,2025-12-07 14:55:42.245209
TXN900003864,ACC5000090,2023-01-01,10:14:00,2023-01-01 10:14:00,DEPOSIT,1110.69,Cash Deposit,,,,Branch,Completed,"Jillville, NM",REF122263644,Income,False,2025-12-07 14:55:41.114686
TXN900004390,ACC5000101,2023-01-01,10:25:00,2023-01-01 10:25:00,WITHDRAWAL,19.33,ATM Withdrawal,Wyatt-Hill,Groceries,MER24541,Online,Completed,"Edwardhaven, SC",REF397799667,Cash,False,2025-12-07 14:55:41.228592
TXN900000752,ACC5000014,2023-01-01,10:29:00,2023-01-01 10:29:00,WITHDRAWAL,200.49,Teller Withdrawal,Jackson-Torres,Restaurant,MER94972,ATM,Completed,Online,REF376236056,Cash,False,2025-12-07 14:55:40.426780
TXN900002355,ACC5000056,2023-01-01,10:31:00,2023-01-01 10:31:00,WITHDRAWAL,154.36,Teller Withdrawal,"Wilson, Roberts and Strong",Travel,MER49326,Phone,Completed,Online,REF369481312,Cash,False,2025-12-07 14:55:40.790572
TXN900000933,ACC5000021,2023-01-01,10:33:00,2023-01-01 10:33:00,WITHDRAWAL,99.14,Cash Withdrawal,Jackson Group,Healthcare,MER46010,Online,Completed,"Holtfort, ME",REF675244407,Cash,False,2025-12-07 14:55:40.466738
TXN900004552,ACC5000104,2023-01-01,10:33:00,2023-01-01 10:33:00,PAYMENT,10.67,Subscription,"Duran, Scott and Molina",Travel,MER70852,Online,Completed,Online,REF292198192,Expense,False,2025-12-07 14:55:41.262436
TXN900007151,ACC5000158,2023-01-01,10:37:00,2023-01-01 10:37:00,WITHDRAWAL,483.33,ATM Withdrawal,"Moody, Bennett and Martinez",Transportation,MER11581,Branch,Completed,"Port Valerie, NM",REF378551365,Cash,False,2025-12-07 14:55:41.825217
TXN900005058,ACC5000114,2023-01-01,10:40:00,2023-01-01 10:40:00,PAYMENT,175.05,Subscription,Wu-Garcia,Healthcare,MER95615,Online,Completed,"East Michaeltown, GU",REF577942116,Expense,False,2025-12-07 14:55:41.371322
TXN900003166,ACC5000073,2023-01-01,10:45:00,2023-01-01 10:45:00,TRANSFER,860.97,Bill Payment,,,,Online,Completed,Online,REF228824444,Transfer,False,2025-12-07 14:55:40.959422
TXN900010810,ACC5000238,2023-01-01,10:49:00,2023-01-01 10:49:00,PAYMENT,117.39,Utility Bill,Moreno LLC,Gas/Automotive,MER58908,Mobile,Completed,"East Jason, NM",REF106707662,Expense,False,2025-12-07 14:55:42.600761
TXN900002292,ACC5000055,2023-01-01,10:51:00,2023-01-01 10:51:00,WITHDRAWAL,13.72,Cash Withdrawal,Sanchez and Sons,Online Retail,MER51383,ATM,Completed,"Anthonybury, MP",REF542839009,Cash,False,2025-12-07 14:55:40.775953
TXN900008386,ACC5000187,2023-01-01,10:52:00,2023-01-01 10:52:00,DEPOSIT,5.32,Interest Payment,,,,Mobile,Completed,Online,REF324674061,Income,False,2025-12-07 14:55:42.087070
TXN900007520,ACC5000164,2023-01-01,10:53:00,2023-01-01 10:53:00,DEPOSIT,922.29,Interest Payment,,,,Mobile,Completed,"East Christopher, KS",REF476247014,Income,False,2025-12-07 14:55:41.904759
TXN900006474,ACC5000141,2023-01-01,10:54:00,2023-01-01 10:54:00,TRANSFER,1318.94,Peer-to-Peer Transfer,,,,Online,Pending,"Abigailfurt, NC",REF558154399,Transfer,False,2025-12-07 14:55:41.677830
TXN900010542,ACC5000234,2023-01-01,10:55:00,2023-01-01 10:55:00,TRANSFER,71.01,Fund Transfer,,,,Mobile,Completed,"Turnermouth, CA",REF184967493,Transfer,False,2025-12-07 14:55:42.544478
TXN900000269,ACC5000005,2023-01-01,10:55:00,2023-01-01 10:55:00,TRANSFER,127.99,Bill Payment,,,,Online,Completed,"South Emilymouth, CA",REF253815116,Transfer,False,2025-12-07 14:55:40.318438
TXN900003996,ACC5000092,2023-01-01,10:59:00,2023-01-01 10:59:00,TRANSFER,969.33,Fund Transfer,,,,ATM,Completed,Online,REF631848216,Transfer,False,2025-12-07 14:55:41.143229
TXN900010609,ACC5000235,2023-01-01,11:00:00,2023-01-01 11:00:00,TRANSFER,2537.35,Peer-to-Peer Transfer,,,,Mobile,Completed,Online,REF138401215,Transfer,False,2025-12-07 14:55:42.558020
TXN900002107,ACC5000050,2023-01-01,11:01:00,2023-01-01 11:01:00,TRANSFER,2984.98,Peer-to-Peer Transfer,,,,Phone,Completed,"Lake Antoniochester, VI",REF972568129,Transfer,False,2025-12-07 14:55:40.731643
TXN900002904,ACC5000068,2023-01-01,11:03:00,2023-01-01 11:03:00,WITHDRAWAL,107.58,Cash Withdrawal,Moore-Harrington,Travel,MER78298,Mobile,Completed,"Lake Stephenport, IL",REF421417903,Cash,False,2025-12-07 14:55:40.903632
TXN900009146,ACC5000206,2023-01-01,11:03:00,2023-01-01 11:03:00,WITHDRAWAL,6.69,Cash Withdrawal,Williams-Jones,Entertainment,MER70128,ATM,Completed,"New Ericmouth, PA",REF662943505,Cash,False,2025-12-07 14:55:42.249420
TXN900008853,ACC5000197,2023-01-01,11:05:00,2023-01-01 11:05:00,WITHDRAWAL,10.97,Teller Withdrawal,Davidson PLC,Utilities,MER15299,Online,Completed,"Cobbstad, PA",REF277405303,Cash,False,2025-12-07 14:55:42.186453
TXN900007375,ACC5000161,2023-01-01,11:10:00,2023-01-01 11:10:00,DEPOSIT,10622.53,Cash Deposit,,,,Phone,Completed,"South Philip, VA",REF912399890,Income,False,2025-12-07 14:55:41.872873
TXN900002441,ACC5000059,2023-01-01,11:10:00,2023-01-01 11:10:00,TRANSFER,107.59,Peer-to-Peer Transfer,,,,Mobile,Completed,Online,REF867658814,Transfer,False,2025-12-07 14:55:40.807539
TXN900008379,ACC5000187,2023-01-01,11:12:00,2023-01-01 11:12:00,DEPOSIT,408.51,Cash Deposit,,,,ATM,Completed,"Murphyfort, UT",REF869015924,Income,False,2025-12-07 14:55:42.085963
TXN900004044,ACC5000093,2023-01-01,11:12:00,2023-01-01 11:12:00,WITHDRAWAL,171.05,ATM Withdrawal,Fowler Group,Education,MER24668,Online,Completed,Online,REF976139210,Cash,False,2025-12-07 14:55:41.154039
TXN900010586,ACC5000235,2023-01-01,11:13:00,2023-01-01 11:13:00,TRANSFER,8103.26,Peer-to-Peer Transfer,,,,Mobile,Completed,"Gonzalezport, AK",REF360807808,Transfer,False,2025-12-07 14:55:42.553646
TXN900009955,ACC5000223,2023-01-01,11:13:00,2023-01-01 11:13:00,DEPOSIT,1593.18,Transfer Received,,,,Online,Completed,"West Samantha, GA",REF105980425,Income,False,2025-12-07 14:55:42.419185
TXN900008019,ACC5000177,2023-01-01,11:18:00,2023-01-01 11:18:00,DEPOSIT,2816.5,Transfer Received,,,,ATM,Completed,Online,REF386337455,Income,False,2025-12-07 14:55:42.007672
TXN900009489,ACC5000214,2023-01-01,11:19:00,2023-01-01 11:19:00,WITHDRAWAL,383.84,Teller Withdrawal,Mitchell-Kirby,Retail,MER89127,Mobile,Completed,Online,REF176141919,Cash,False,2025-12-07 14:55:42.320516
TXN900007020,ACC5000156,2023-01-01,11:20:00,2023-01-01 11:20:00,WITHDRAWAL,151.2,Teller Withdrawal,"Pollard, Hopkins and Duncan",Groceries,MER55398,Online,Completed,"West Tinafort, IN",REF983290841,Cash,False,2025-12-07 14:55:41.797042
TXN900004476,ACC5000102,2023-01-01,11:22:00,2023-01-01 11:22:00,WITHDRAWAL,142.03,ATM Withdrawal,"Mccarty, Bell and Perry",Restaurant,MER50788,Branch,Completed,Online,REF726706507,Cash,False,2025-12-07 14:55:41.245789
TXN900010279,ACC5000229,2023-01-01,11:26:00,2023-01-01 11:26:00,PAYMENT,33.6,Insurance,Wiley LLC,Education,MER60098,Branch,Completed,"West Sarastad, AS",REF747452339,Expense,False,2025-12-07 14:55:42.489211
TXN900009351,ACC5000210,2023-01-01,11:27:00,2023-01-01 11:27:00,DEPOSIT,420.56,Cash Deposit,,,,Mobile,Completed,"South Jacquelinechester, ME",REF601773279,Income,False,2025-12-07 14:55:42.291409
TXN900010167,ACC5000226,2023-01-01,11:30:00,2023-01-01 11:30:00,WITHDRAWAL,836.65,Cash Withdrawal,Medina-Christian,Healthcare,MER40252,Online,Completed,Online,REF698641566,Cash,False,2025-12-07 14:55:42.465606
TXN900009995,ACC5000224,2023-01-01,11:30:00,2023-01-01 11:30:00,DEPOSIT,186.55,Check Deposit,,,,ATM,Completed,"East Katherineborough, HI",REF598496915,Income,False,2025-12-07 14:55:42.429057
TXN900004851,ACC5000111,2023-01-01,11:30:00,2023-01-01 11:30:00,DEPOSIT,1279.0,Interest Payment,,,,Online,Completed,Online,REF137052221,Income,False,2025-12-07 14:55:41.327199
TXN900009291,ACC5000209,2023-01-01,11:35:00,2023-01-01 11:35:00,TRANSFER,1314.54,Account Transfer,,,,Online,Completed,Online,REF614667734,Transfer,False,2025-12-07 14:55:42.278652
TXN900001952,ACC5000046,2023-01-01,11:35:00,2023-01-01 11:35:00,WITHDRAWAL,35.0,Cash Withdrawal,"Ferrell, Reilly and Martin",Education,MER39400,Branch,Completed,"Smithchester, HI",REF897159606,Cash,False,2025-12-07 14:55:40.695060
TXN900000304,ACC5000005,2023-01-01,11:35:00,2023-01-01 11:35:00,DEPOSIT,317.07,Check Deposit,,,,ATM,Completed,Online,REF994807263,Income,False,2025-12-07 14:55:40.326000
TXN900009634,ACC5000217,2023-01-01,11:36:00,2023-01-01 11:36:00,DEPOSIT,561.51,Interest Payment,,,,Mobile,Completed,"New Ariel, VA",REF461692600,Income,False,2025-12-07 14:55:42.351534
TXN900003766,ACC5000085,2023-01-01,11:38:00,2023-01-01 11:38:00,WITHDRAWAL,115.89,Cash Withdrawal,"Powers, Floyd and Walsh",Travel,MER40950,Online,Completed,Online,REF535795238,Cash,False,2025-12-07 14:55:41.092892
TXN900004755,ACC5000108,2023-01-01,11:38:00,2023-01-01 11:38:00,DEPOSIT,5055.13,Salary Deposit,,,,Branch,Pending,"Taylorshire, PA",REF636415668,Income,False,2025-12-07 14:55:41.305845
