branch_id,branch_name,branch_code,address,city,state,zip_code,phone,email,manager_name,manager_id,open_date,total_deposits,total_loans,num_employees,region,branch_type,operating_hours,has_atm,has_drive_thru,square_footage,created_at
BR011,Justinfurt Branch,BC0011,33884 Cooper Ports,East Jenniferside,CA,26693,2828413016,branch11@bank.com,Rachel Stanley,MGR6163,2014-11-17,29093128.38,22656848.74,42,West,Express,9:00 AM - 5:00 PM,True,True,5247,2025-12-07 14:55:42.666490
BR012,East Michaelshire Branch,BC0012,1773 Justin Spur,Port Jeanne,PA,06067,001-471-582-1821x60639,branch12@bank.com,Timothy Murray,MGR5391,2023-08-30,70149414.81,118784587.71,20,Northeast,Full Service,9:00 AM - 5:00 PM,False,False,5201,2025-12-07 14:55:42.666895
BR013,Lake Christophertown Branch,BC0013,38836 Browning Trail,Port Mary,TX,47146,795.635.6441x193,branch13@bank.com,Jocelyn Lopez,MGR2362,2019-03-24,43125265.35,159174818.84,8,South,Express,9:00 AM - 5:00 PM,True,True,3516,2025-12-07 14:55:42.667336
BR014,New Tina Branch,BC0014,40238 Faulkner Divide Apt. 317,Cindyview,OH,42545,4908903957,branch14@bank.com,Lisa Young,MGR3902,2008-12-24,23113210.32,1628974.08,32,Midwest,Full Service,9:00 AM - 5:00 PM,True,False,3506,2025-12-07 14:55:42.667762
BR015,South Melissafort Branch,BC0015,38276 Wilkins Trace,Amberton,GA,23832,001-749-766-8992x385,branch15@bank.com,Alyssa Smith,MGR1010,2009-09-27,58304709.7,28854767.65,40,South,Express,9:00 AM - 5:00 PM,True,False,7249,2025-12-07 14:55:42.668178
BR016,Erikaport Branch,BC0016,479 Adam Groves Apt. 518,Smithborough,IL,89436,(421)777-5990,branch16@bank.com,Nicole Burton,MGR2354,2023-12-14,28658693.03,16225133.19,26,Midwest,Full Service,9:00 AM - 5:00 PM,True,False,4407,2025-12-07 14:55:42.668603
BR017,New Charles Branch,BC0017,04103 Anderson Track,North Vanessamouth,OH,23087,+1-957-855-1263x700,branch17@bank.com,Tara Garner,MGR3215,2013-01-02,68028245.16,34275887.39,49,Midwest,Full Service,9:00 AM - 5:00 PM,True,False,8524,2025-12-07 14:55:42.669016
BR018,Port Henrystad Branch,BC0018,6668 David Expressway,Mitchellburgh,NY,13431,734.859.5829,branch18@bank.com,Jennifer Brown,MGR3985,2011-10-03,34438448.55,16090360.47,44,Northeast,Full Service,9:00 AM - 5:00 PM,False,False,9331,2025-12-07 14:55:42.669455
BR019,Meganton Branch,BC0019,1475 Kathleen Meadow Apt. 782,Susanport,MI,67092,(286)747-6695x577,branch19@bank.com,Jason Diaz,MGR8171,2007-09-17,38659142.51,81672010.08,17,Midwest,Express,9:00 AM - 5:00 PM,True,True,6766,2025-12-07 14:55:42.669857
BR020,Marshallshire Branch,BC0020,5115 Lawrence Dam Suite 687,West Moniquechester,PA,34886,(597)495-0804x6606,branch20@bank.com,Amanda Phillips,MGR6140,2020-02-20,7070511.14,41250984.36,18,Northeast,Full Service,9:00 AM - 5:00 PM,True,False,5025,2025-12-07 14:55:42.670280
BR021,Port Steven Branch,BC0021,209 Henry Extensions,East Katiebury,TX,74042,5297446276,branch21@bank.com,Anne Savage,MGR6854,2023-05-03,9912069.25,7376666.95,31,South,Express,9:00 AM - 5:00 PM,True,False,5748,2025-12-07 14:55:42.670676
BR022,Bakerfort Branch,BC0022,1295 Wood Valley,Lake Traci,PA,41545,335.884.9999,branch22@bank.com,Courtney Bailey,MGR1975,2017-06-29,29132772.73,34522407.45,31,Northeast,Full Service,9:00 AM - 5:00 PM,True,False,6186,2025-12-07 14:55:42.671106
BR023,East Andrea Branch,BC0023,512 Ashley Cape Apt. 817,Karenmouth,OH,33194,001-311-214-9633x60989,branch23@bank.com,Aaron Chambers,MGR1173,2016-11-23,13506052.9,79843457.81,21,Midwest,Express,9:00 AM - 5:00 PM,True,False,8878,2025-12-07 14:55:42.671523
BR024,Reidville Branch,BC0024,400 Jensen Lakes Apt. 445,Garytown,FL,94359,220-984-1828x6549,branch24@bank.com,Carrie Murphy,MGR3587,2018-08-19,315063.01,56312538.38,47,South,Express,9:00 AM - 5:00 PM,False,True,2817,2025-12-07 14:55:42.671966
BR025,Davidville Branch,BC0025,375 Malone Alley,Claytonshire,NY,50186,+1-506-816-9413x51284,branch25@bank.com,Emily Frank,MGR7843,2018-03-08,70355920.85,29158177.02,34,Northeast,Full Service,9:00 AM - 5:00 PM,False,True,7344,2025-12-07 14:55:42.672487
BR026,Amandaburgh Branch,BC0026,0699 Olivia Mall Apt. 569,Carlychester,GA,03233,627.761.0023x51209,branch26@bank.com,Michelle Reyes MD,MGR1831,2021-11-25,64209192.33,2018636.32,16,South,Full Service,9:00 AM - 5:00 PM,True,False,2139,2025-12-07 14:55:42.672925
BR027,Lake Jose Branch,BC0027,85633 Howard Way Suite 913,Zamorahaven,GA,65776,9187811133,branch27@bank.com,Taylor Clark,MGR2293,2009-02-14,32073712.61,85090240.12,17,South,Express,9:00 AM - 5:00 PM,True,False,6566,2025-12-07 14:55:42.673547
BR028,Joeview Branch,BC0028,707 Duane Parkway,Ingramchester,FL,31956,487.290.8132,branch28@bank.com,Teresa White,MGR6234,2007-10-11,17083414.34,10027176.61,33,South,Full Service,9:00 AM - 5:00 PM,False,False,8047,2025-12-07 14:55:42.674053
BR029,Julianport Branch,BC0029,1978 Robert Glens,Thomaston,MI,38631,(459)490-0284,branch29@bank.com,Brent Williams,MGR2818,2010-03-02,13415144.36,55130550.09,33,Midwest,Express,9:00 AM - 5:00 PM,True,False,7295,2025-12-07 14:55:42.674499
BR030,Port Courtney Branch,BC0030,77434 Jeffrey Circle,Joannefort,CA,75732,(351)573-3358,branch30@bank.com,Christopher Martin,MGR6525,2008-09-17,38886.11,26286137.18,26,West,Full Service,9:00 AM - 5:00 PM,True,True,9545,2025-12-07 14:55:42.674908
BR031,Melissafort Branch,BC0031,546 Christopher Lights Suite 006,North Willie,NY,14364,(840)476-6453,branch31@bank.com,Bethany Avila,MGR4515,2014-04-11,45578025.56,7246617.55,23,Northeast,Full Service,9:00 AM - 5:00 PM,True,True,7661,2025-12-07 14:55:42.675329
BR032,Bradleyville Branch,BC0032,44968 Johnson Curve,Port Marciaport,TX,67181,001-494-754-9497,branch32@bank.com,Ryan Hopkins,MGR3999,2007-10-22,143565046.53,13484087.03,32,South,Full Service,9:00 AM - 5:00 PM,True,True,8492,2025-12-07 14:55:42.675750
BR033,Tracyport Branch,BC0033,175 Hall Glens,West Lisamouth,NC,13725,744-446-5748x1452,branch33@bank.com,Kayla Dixon,MGR6685,2019-05-03,21444564.78,19072947.95,46,South,Full Service,9:00 AM - 5:00 PM,True,True,7350,2025-12-07 14:55:42.676164
BR034,Nicholastown Branch,BC0034,43178 Moore Freeway,East Kimberlyfort,IL,45096,683-493-7772x715,branch34@bank.com,Brian Cowan,MGR5253,2005-12-25,70575839.09,43930847.78,14,Midwest,Commercial,9:00 AM - 5:00 PM,True,False,7582,2025-12-07 14:55:42.676741
BR035,Port Alison Branch,BC0035,1247 Henry Way,Mcintyreton,TX,58768,919-975-3700x6323,branch35@bank.com,Tyler Moore,MGR8211,2005-12-14,10865482.64,12145978.15,36,South,Full Service,9:00 AM - 5:00 PM,True,True,5472,2025-12-07 14:55:42.677406
BR036,Sabrinaborough Branch,BC0036,5826 Erik Corners Suite 510,Kathyshire,NY,93015,001-398-918-1199x428,branch36@bank.com,Michelle Young,MGR6567,2010-07-10,85129199.97,50128778.53,15,Northeast,Full Service,9:00 AM - 5:00 PM,True,False,4105,2025-12-07 14:55:42.677833
BR037,South Jonathanborough Branch,BC0037,3433 Elliott Motorway Apt. 972,West Brentshire,NY,88971,324.924.3009,branch37@bank.com,James Walker,MGR1524,2015-12-01,5772165.68,85511857.1,22,Northeast,Full Service,9:00 AM - 5:00 PM,True,True,8139,2025-12-07 14:55:42.678276
BR038,North Diane Branch,BC0038,44783 Sandra Crest Apt. 125,Harveyside,TX,77578,(791)402-4198x27244,branch38@bank.com,Mrs. Laura Fuller MD,MGR8177,2010-10-23,118824259.16,8010883.63,34,South,Full Service,9:00 AM - 5:00 PM,True,True,4062,2025-12-07 14:55:42.678737
BR039,North Christopher Branch,BC0039,8951 Sullivan Walk Apt. 180,West Joshuatown,CA,98992,(877)460-1231,branch39@bank.com,John Davis,MGR5628,2007-01-28,32289895.94,9974009.86,27,West,Full Service,9:00 AM - 5:00 PM,True,False,2423,2025-12-07 14:55:42.679163
BR040,East Paulchester Branch,BC0040,4397 Ana Walks Suite 184,Wesleyfurt,CA,30237,8215291823,branch40@bank.com,Mrs. Brandi Bryan,MGR1718,2009-02-09,119302969.33,23421583.08,47,West,Express,9:00 AM - 5:00 PM,True,False,5305,2025-12-07 14:55:42.679595
BR041,New Elizabeth Branch,BC0041,310 Oscar Fort,Johnsonton,TX,50779,748.625.2292x546,branch41@bank.com,Daniel Jones DDS,MGR9066,2016-01-13,107466985.51,606401.44,8,South,Commercial,9:00 AM - 5:00 PM,True,True,3067,2025-12-07 14:55:42.680017
BR042,Michaelton Branch,BC0042,5354 Marissa Ford,Mooreview,OH,57777,(676)722-6761x74790,branch42@bank.com,Gabriela Martin MD,MGR2636,2011-09-28,181903593.06,5352211.93,29,Midwest,Full Service,9:00 AM - 5:00 PM,True,False,9098,2025-12-07 14:55:42.680457
BR043,West Carlachester Branch,BC0043,54978 Nicholas Forks Suite 196,Lake Deborahport,PA,98900,797.431.1601x56539,branch43@bank.com,Anne Harmon,MGR8257,2016-10-01,69217800.86,72394671.05,17,Northeast,Express,9:00 AM - 5:00 PM,True,False,3839,2025-12-07 14:55:42.680864
BR044,Lisaview Branch,BC0044,50437 Jane Mall,New Lindabury,OH,44856,955.683.6454x87597,branch44@bank.com,Nicholas Weeks,MGR4133,2007-11-25,13793199.06,470816.37,47,Midwest,Full Service,9:00 AM - 5:00 PM,True,False,5548,2025-12-07 14:55:42.681275
BR045,Jasonhaven Branch,BC0045,5684 Mercado Pines,Bryanmouth,OH,68985,+1-867-925-3081x5808,branch45@bank.com,Paula Mercado,MGR3115,2014-10-31,83815908.54,9008928.16,48,Midwest,Full Service,9:00 AM - 5:00 PM,True,False,7232,2025-12-07 14:55:42.681708
BR046,Danielbury Branch,BC0046,6719 Steven Extension,South Rachel,CA,03158,9297596351,branch46@bank.com,Jacob Briggs,MGR8597,2007-05-07,28568246.3,37425800.48,15,West,Express,9:00 AM - 5:00 PM,True,False,4725,2025-12-07 14:55:42.682129
BR047,South Charles Branch,BC0047,44641 Moore Port,Chadton,NC,28200,(375)980-6932x89401,branch47@bank.com,Colton Johnson,MGR1811,2014-05-21,43803673.17,35625165.55,37,South,Full Service,9:00 AM - 5:00 PM,True,False,7669,2025-12-07 14:55:42.682607
BR048,Johnsonmouth Branch,BC0048,467 Andrea Mountains,South Javier,NY,83990,669-827-5927,branch48@bank.com,Angela Smith,MGR6797,2019-07-14,42618751.93,5372310.07,22,Northeast,Express,9:00 AM - 5:00 PM,True,True,3037,2025-12-07 14:55:42.683051
BR049,Ruizton Branch,BC0049,701 David Roads,Jamesland,IL,71827,2619085370,branch49@bank.com,Alex Smith,MGR6999,2011-01-09,35699496.67,45850054.28,8,Midwest,Full Service,9:00 AM - 5:00 PM,True,False,3762,2025-12-07 14:55:42.683656
BR050,East Jenny Branch,BC0050,683 Lucas Vista,North Sandraland,PA,72073,969-834-9106,branch50@bank.com,Stephanie Cameron,MGR1459,2007-04-13,44718047.96,49691915.73,6,Northeast,Full Service,9:00 AM - 5:00 PM,True,True,8792,2025-12-07 14:55:42.684107
